epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.09160488822937,62.958000000000006,95.5,0.9242983201026916,67.27,97.43
2,1.026731633014679,64.354,96.074,0.9208276169776917,67.11,97.46000000000001
3,1.006980061569214,64.68199999999999,96.25200000000001,0.9006529655456543,67.63,97.74000000000001
4,0.9968298298263549,65.328,96.236,0.8793467914581299,68.34,97.61999999999999
5,0.9907443995666504,65.148,96.41199999999999,0.8936674664497376,67.47,97.86
6,0.9827337327575684,65.646,96.488,0.8802507746696472,68.06,97.78999999999999
7,0.9822670534133912,65.52799999999999,96.344,0.8811888227462769,67.78,97.71
8,0.974291103477478,65.946,96.432,0.874698115825653,68.17999999999999,97.76
9,0.9750331695556641,65.81,96.524,0.8655224946022033,68.38,97.97
10,0.9776475871086121,65.584,96.44200000000001,0.8739210374832154,68.10000000000001,97.77
11,0.975155301990509,65.95400000000001,96.458,0.8816640031814575,67.99,97.72
12,0.9715254898071289,66.05799999999999,96.482,0.8600372577667237,68.96,97.77
13,0.9727975456047058,66.0,96.452,0.8608134609222412,68.89,97.72999999999999
14,0.9719465371322632,65.874,96.528,0.8525336188316345,69.06,97.86
15,0.9651328007698059,66.276,96.54599999999999,0.8630943189620972,68.72,97.87
16,0.9639894958114624,66.372,96.516,0.8558420051574707,69.21000000000001,97.94
17,0.9622156463241577,66.46,96.63199999999999,0.8693753418922424,68.75,97.76
18,0.9670124690628051,65.986,96.58200000000001,0.8704803411483765,68.38,97.69
19,0.9641282152938843,66.13,96.49,0.8568067734718323,68.78999999999999,97.92
20,0.966969797744751,65.93599999999999,96.552,0.85395700340271,69.39999999999999,97.81
21,0.9705205965423584,66.014,96.53399999999999,0.8560151171684265,69.05,97.83
22,0.9708616246414185,65.98,96.44,0.8551729572296143,68.7,98.0
23,0.9651721318817139,66.252,96.56400000000001,0.8619740156173706,68.78,97.8
24,0.9624931173324585,66.362,96.652,0.8589742275238037,68.89,97.94
