epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.1348746175956725,62.078,95.062,1.0075087087631225,63.739999999999995,97.11999999999999
2,0.8962581889724731,68.568,97.392,0.9814026094436645,64.9,96.97
3,0.8469479440116883,70.206,97.738,0.9799923253059387,64.64999999999999,97.19
4,0.8295211929512024,70.77,97.72800000000001,0.9823912459373474,65.01,96.94
5,0.8193424314880371,71.364,97.828,1.012248359489441,64.36,96.89
6,0.7977600105667114,72.002,97.962,1.0125491508483886,64.37,96.84
7,0.7951438480377198,72.066,98.05199999999999,1.0095180320739745,64.52,96.89999999999999
8,0.7912474587059021,72.09400000000001,97.938,1.0227043914794922,64.14,96.75
9,0.7852146738815308,72.514,97.896,1.0433180236816406,63.65,96.67999999999999
10,0.7823596379470825,72.578,97.964,1.031788557624817,64.05,96.81
11,0.7779442467880249,72.738,98.104,1.0260289127349853,64.29,96.77
12,0.7735338113403321,73.07000000000001,98.1,1.0388303895950317,63.92,96.92
13,0.7709309851837158,73.30799999999999,98.104,1.0266757814407348,64.64,96.89999999999999
14,0.7748822540092468,73.0,98.068,1.0341707556724549,64.03999999999999,96.88
15,0.7686486668777466,73.35199999999999,97.976,1.0171388145446778,64.60000000000001,96.88
16,0.767744812412262,73.06,98.08200000000001,1.016510835647583,64.51,96.87
17,0.7641318608283997,73.244,98.092,1.044480369091034,64.12,96.75
18,0.759455462474823,73.092,98.164,1.0410357844352722,64.22,96.75
19,0.7627567512893677,73.248,98.232,1.040152580833435,64.03,96.75
20,0.7590050304031372,73.31800000000001,98.166,1.0187802876472474,64.66,96.83
21,0.7682720860481262,73.19200000000001,98.064,1.03428945684433,64.25,96.85000000000001
22,0.7543796259689332,73.706,98.182,1.0500906183242797,63.93,96.89999999999999
23,0.7570249560165405,73.374,98.104,1.0510211733818053,64.01,96.65
24,0.7579143087959289,73.57000000000001,98.238,1.0426335666656494,63.949999999999996,96.87
25,0.7631681100273132,73.29,98.148,1.0524754578590394,64.24,96.69
26,0.7581552388954163,73.438,98.224,1.0313194437026978,64.48,96.88
27,0.7566463871383667,73.45,98.154,1.0562256546020508,63.57000000000001,96.78999999999999
28,0.7567733193588256,73.526,98.086,1.062654955482483,63.449999999999996,96.6
29,0.7614783590698242,73.28,98.126,1.049720789527893,64.09,96.72
30,0.7588287071037293,73.564,98.104,1.0582847457885742,63.77,96.73
31,0.7604821774291992,73.45,98.22800000000001,1.0558392484664918,63.71,96.84
32,0.7613829125595093,73.614,98.018,1.0246334650039672,64.36,96.96000000000001
